element,N,min_val,max_val,mean_val,std_val,var_val
Ce,7195,0.1,5253.0,35.0819,130.7587,17097.8457
Dy,7195,0.06,3357.0,133.9863,175.3962,30763.8253
Er,7195,0.1,5445.0,217.7535,240.5035,57841.9225
Eu,7195,0.0,7547.02,6.185,115.0089,13227.0583
Gd,7195,-1.3,1089.0,34.5309,59.95,3593.9982
Ho,7195,0.04,1146.0,47.5918,55.0318,3028.497
Lu,7195,0.29,11481.0,88.6332,192.1975,36939.8684
Nd,7195,0.0,2229.0,13.5921,79.3728,6300.0338
Sm,7195,0.0,1060.21,10.6141,37.3585,1395.6596
Th,7195,0.03,27303.0,342.5648,1038.5027,1078487.8837
Tm,7195,0.17,1395.0,47.0376,52.5298,2759.3792
U,7195,0.35,39086.0,732.228,1864.6387,3476877.5137
Yb,7195,1.24,13881.0,469.7073,541.3703,293081.8319
