id,lat,lon,class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
1,40.49,-121.51,magmatic,8.45,31.79,58.36,0.49,5.73,12.14,28.29,0.3,0.85,32.0,14.37,65.0,139.69
2,40.49,-121.51,magmatic,46.28,66.46,189.8,0.51,14.86,37.68,88.34,0.57,1.69,314.0,46.54,511.0,436.0
3,40.49,-121.51,magmatic,68.14,90.61,225.64,0.85,21.73,45.38,96.36,0.72,2.46,757.0,53.23,811.0,501.76
4,40.49,-121.51,magmatic,170.38,303.39,519.85,2.95,70.0,111.31,217.11,2.78,7.38,3497.0,119.34,2127.0,1104.03
5,40.49,-121.51,magmatic,18.54,41.55,87.39,0.27,7.4,16.25,42.14,0.14,0.81,67.0,21.6,137.0,199.8
6,40.49,-121.51,magmatic,28.52,154.58,274.86,1.26,33.17,55.84,103.36,1.79,3.78,176.0,59.72,254.0,545.58
7,40.49,-121.51,magmatic,31.07,28.53,131.72,0.29,9.14,24.36,61.59,0.3,1.12,170.0,32.11,318.0,312.55
8,40.49,-121.51,magmatic,21.56,80.27,165.26,0.43,12.42,30.24,82.74,0.35,1.2,149.0,39.44,342.0,411.67
9,40.49,-121.51,magmatic,258.59,288.92,559.33,2.22,79.42,129.96,170.59,3.45,9.5,3823.0,119.03,2025.0,973.49
10,40.49,-121.51,magmatic,21.13,46.01,120.22,0.34,8.37,22.54,61.2,0.23,0.81,100.0,29.03,221.0,286.61
