class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
magmatic,22.18,64.4,116.7,1.0,11.14,21.88,75.7,0.73,5.62,179.0,33.8,599.0,328.0
magmatic,27.1,106.1,164.0,1.5,15.9,31.6,100.3,1.34,11.0,175.0,46.4,627.0,447.0
magmatic,23.6,91.4,211.6,2.12,24.3,41.9,130.9,2.06,8.17,206.0,58.9,628.0,530.0
magmatic,32.2,82.6,131.2,1.03,11.51,24.8,78.7,0.78,7.7,229.0,36.5,672.0,359.0
magmatic,22.6,79.6,157.5,1.02,12.8,29.9,101.4,0.62,4.98,182.0,44.6,711.0,429.0
magmatic,20.7,194.8,289.0,0.77,34.7,61.4,117.6,7.3,22.1,135.3,73.1,759.0,590.0
magmatic,30.3,83.1,178.3,1.51,17.9,34.9,105.9,0.93,5.88,341.0,48.0,891.0,437.0
magmatic,38.4,109.7,251.7,2.55,29.8,47.7,143.0,2.16,9.41,487.0,66.2,937.0,580.0
magmatic,31.9,130.7,265.0,1.8,21.37,51.6,158.0,1.16,7.8,256.0,74.2,1069.0,670.0
magmatic,41.6,120.5,207.0,2.11,23.63,42.6,113.9,1.47,11.03,483.0,56.3,1157.0,515.0
magmatic,23.8,101.0,192.2,1.93,17.9,36.1,123.4,1.09,8.03,229.0,54.4,1180.0,519.0
magmatic,27.5,119.5,271.7,1.98,18.2,49.3,192.4,0.79,6.75,259.0,80.3,1193.0,775.0
magmatic,10.08,139.3,242.2,0.83,26.03,53.0,96.9,2.68,11.6,72.0,57.5,162.5,461.0
magmatic,10.11,191.8,322.0,1.25,36.4,71.1,130.6,2.63,15.17,86.7,76.4,195.0,612.0
magmatic,13.44,188.0,336.0,1.05,36.6,72.1,134.4,2.84,14.48,137.1,77.6,272.0,625.0
magmatic,17.7,296.0,503.0,2.18,67.9,115.3,169.3,6.14,28.3,155.0,113.6,309.0,877.0
magmatic,26.5,177.0,319.0,1.01,37.9,69.6,129.3,6.9,14.6,212.0,73.9,354.0,598.0
magmatic,8.33,26.15,49.1,0.29,5.91,10.04,22.32,0.49,2.61,35.3,12.21,79.5,117.9
magmatic,8.59,26.69,52.8,0.29,5.57,10.09,22.93,0.48,2.56,36.5,12.47,83.8,123.1
magmatic,10.16,35.1,58.9,0.41,8.7,13.7,32.4,0.82,3.7,43.8,15.4,96.8,149.0
magmatic,11.0,31.2,60.6,0.27,6.64,12.23,28.7,0.48,2.81,52.0,14.94,127.3,147.3
