class,elem,N,q1_i,q2_i,q3_i
detrital,Gd,3421,856,1711,2566
detrital,Ho,3425,857,1713,2569
detrital,Lu,3425,857,1713,2569
detrital,Nd,3374,844,1687,2531
detrital,Sm,3408,852,1704,2556
detrital,Th,3420,855,1710,2565
detrital,Tm,3425,857,1713,2569
detrital,U,3433,859,1717,2575
detrital,Yb,3425,857,1713,2569
hydrothermal,Gd,536,134,268,402
hydrothermal,Ho,536,134,268,402
hydrothermal,Lu,536,134,268,402
hydrothermal,Nd,536,134,268,402
hydrothermal,Sm,536,134,268,402
hydrothermal,Th,534,134,267,401
hydrothermal,Tm,529,133,265,397
hydrothermal,U,534,134,267,401
hydrothermal,Yb,536,134,268,402
magmatic,Gd,2516,629,1258,1887
magmatic,Ho,2517,630,1259,1888
magmatic,Lu,2517,630,1259,1888
magmatic,Nd,2504,626,1252,1878
magmatic,Sm,2511,628,1256,1884
magmatic,Th,2517,630,1259,1888
magmatic,Tm,2499,625,1250,1875
magmatic,U,2517,630,1259,1888
magmatic,Yb,2517,630,1259,1888
metamorphic,Gd,377,95,189,283
metamorphic,Ho,380,95,190,285
metamorphic,Lu,380,95,190,285
metamorphic,Nd,375,94,188,282
metamorphic,Sm,377,95,189,283
metamorphic,Th,379,95,190,285
metamorphic,Tm,340,85,170,255
metamorphic,U,380,95,190,285
metamorphic,Yb,380,95,190,285
