class,elem,N,GSD
detrital,Ce,3425,2.998
detrital,Dy,3425,2.0078
detrital,Er,3425,1.9936
detrital,Eu,3387,3.832
detrital,Gd,3420,2.1321
detrital,Ho,3425,2.0027
hydrothermal,Ce,536,4.6802
hydrothermal,Dy,536,3.3218
hydrothermal,Er,536,2.8257
hydrothermal,Eu,532,7.8122
hydrothermal,Gd,536,3.8634
hydrothermal,Ho,536,2.8595
magmatic,Ce,2516,3.405
magmatic,Dy,2517,2.1862
magmatic,Er,2517,2.4218
magmatic,Eu,2513,2.9164
magmatic,Gd,2516,2.1629
magmatic,Ho,2517,2.2653
metamorphic,Ce,380,4.7148
metamorphic,Dy,380,3.2702
metamorphic,Er,380,3.5755
metamorphic,Eu,372,3.9323
metamorphic,Gd,377,3.426
metamorphic,Ho,380,3.2238
